Circuit: * D:\Disco D\universita\magistrale\progettazione-low-power\progetti\progetto-1\ltspice\models\buffer\optimized\buffer_optimized.asc

Warning: Pd = 0 is less than W.
Warning: Ps = 0 is less than W.
Warning: Pd = 0 is less than W.
Warning: Ps = 0 is less than W.
Warning: Pd = 0 is less than W.
Warning: Ps = 0 is less than W.
Warning: Pd = 0 is less than W.
Warning: Ps = 0 is less than W.
Warning: Pd = 0 is less than W.
Warning: Ps = 0 is less than W.
Warning: Pd = 0 is less than W.
Warning: Ps = 0 is less than W.
Direct Newton iteration for .op point succeeded.
.step index=1
.step index=2
.step index=3
.step index=4
.step index=5
.step index=6
.step index=7
.step index=8
.step index=9
.step index=10
.step index=11
.step index=12
.step index=13
.step index=14
.step index=15
.step index=16
.step index=17
.step index=18
.step index=19
.step index=20
.step index=21
.step index=22
.step index=23
.step index=24
.step index=25
.step index=26
.step index=27
.step index=28
.step index=29
.step index=30
.step index=31
.step index=32
.step index=33
.step index=34
.step index=35
.step index=36
.step index=37
.step index=38
.step index=38.2727


Measurement: energy_connected
  step	INTEG(v(supply)*i(vsupply))	FROM	TO
    23	-5.78186e-14	1.3e-08	2.2e-08
    24	-5.78186e-14	1.3e-08	2.2e-08
    25	-5.78186e-14	1.3e-08	2.2e-08
    26	-5.78186e-14	1.3e-08	2.2e-08
    27	-5.78186e-14	1.3e-08	2.2e-08
    28	-5.78186e-14	1.3e-08	2.2e-08
    29	-5.78186e-14	1.3e-08	2.2e-08
    30	-5.78186e-14	1.3e-08	2.2e-08
    31	-5.78186e-14	1.3e-08	2.2e-08
    32	-5.78186e-14	1.3e-08	2.2e-08
    33	-5.78186e-14	1.3e-08	2.2e-08
    34	-5.78186e-14	1.3e-08	2.2e-08
    35	-5.78186e-14	1.3e-08	2.2e-08
    36	-5.78186e-14	1.3e-08	2.2e-08
    37	-5.78186e-14	1.3e-08	2.2e-08
    38	-5.78186e-14	1.3e-08	2.2e-08
    39	-5.78186e-14	1.3e-08	2.2e-08

Measurement: rise_delay_connected
  step	rise_delay_connected	FROM	TO
     1	4.78941e-10	1.0015e-08	1.04939e-08
     2	3.48486e-10	1.0015e-08	1.03635e-08
     3	2.58365e-10	1.0015e-08	1.02734e-08
     4	2.11876e-10	1.0015e-08	1.02269e-08
     5	1.88344e-10	1.0015e-08	1.02033e-08
     6	1.79213e-10	1.0015e-08	1.01942e-08
     7	1.72594e-10	1.0015e-08	1.01876e-08
     8	1.6682e-10	1.0015e-08	1.01818e-08
     9	1.6299e-10	1.0015e-08	1.0178e-08
    10	1.62217e-10	1.0015e-08	1.01772e-08
    11	1.61578e-10	1.0015e-08	1.01766e-08
    12	1.61632e-10	1.0015e-08	1.01766e-08
    13	1.61692e-10	1.0015e-08	1.01767e-08
    14	1.61737e-10	1.0015e-08	1.01767e-08
    15	1.61737e-10	1.0015e-08	1.01767e-08
    16	1.61737e-10	1.0015e-08	1.01767e-08
    17	1.61737e-10	1.0015e-08	1.01767e-08
    18	1.61737e-10	1.0015e-08	1.01767e-08
    19	1.61737e-10	1.0015e-08	1.01767e-08
    20	1.61737e-10	1.0015e-08	1.01767e-08
    21	1.61737e-10	1.0015e-08	1.01767e-08
    22	1.61737e-10	1.0015e-08	1.01767e-08
    23	1.61737e-10	1.0015e-08	1.01767e-08
    24	1.61737e-10	1.0015e-08	1.01767e-08
    25	1.61737e-10	1.0015e-08	1.01767e-08
    26	1.61737e-10	1.0015e-08	1.01767e-08
    27	1.61737e-10	1.0015e-08	1.01767e-08
    28	1.61737e-10	1.0015e-08	1.01767e-08
    29	1.61737e-10	1.0015e-08	1.01767e-08
    30	1.61737e-10	1.0015e-08	1.01767e-08
    31	1.61737e-10	1.0015e-08	1.01767e-08
    32	1.61737e-10	1.0015e-08	1.01767e-08
    33	1.61737e-10	1.0015e-08	1.01767e-08
    34	1.61737e-10	1.0015e-08	1.01767e-08
    35	1.61737e-10	1.0015e-08	1.01767e-08
    36	1.61737e-10	1.0015e-08	1.01767e-08
    37	1.61737e-10	1.0015e-08	1.01767e-08
    38	1.61737e-10	1.0015e-08	1.01767e-08
    39	1.61737e-10	1.0015e-08	1.01767e-08

Measurement: fall_delay_connected
  step	fall_delay_connected	FROM	TO
     1	4.73354e-10	5.005e-09	5.47835e-09
     2	3.42246e-10	5.005e-09	5.34725e-09
     3	2.54203e-10	5.005e-09	5.2592e-09
     4	2.09375e-10	5.005e-09	5.21437e-09
     5	1.87335e-10	5.005e-09	5.19234e-09
     6	1.77605e-10	5.005e-09	5.1826e-09
     7	1.7202e-10	5.005e-09	5.17702e-09
     8	1.67465e-10	5.005e-09	5.17247e-09
     9	1.63831e-10	5.005e-09	5.16883e-09
    10	1.62576e-10	5.005e-09	5.16758e-09
    11	1.62617e-10	5.005e-09	5.16762e-09
    12	1.62657e-10	5.005e-09	5.16766e-09
    13	1.62705e-10	5.005e-09	5.1677e-09
    14	1.62742e-10	5.005e-09	5.16774e-09
    15	1.62742e-10	5.005e-09	5.16774e-09
    16	1.62742e-10	5.005e-09	5.16774e-09
    17	1.62742e-10	5.005e-09	5.16774e-09
    18	1.62742e-10	5.005e-09	5.16774e-09
    19	1.62742e-10	5.005e-09	5.16774e-09
    20	1.62742e-10	5.005e-09	5.16774e-09
    21	1.62742e-10	5.005e-09	5.16774e-09
    22	1.62742e-10	5.005e-09	5.16774e-09
    23	1.62742e-10	5.005e-09	5.16774e-09
    24	1.62742e-10	5.005e-09	5.16774e-09
    25	1.62742e-10	5.005e-09	5.16774e-09
    26	1.62742e-10	5.005e-09	5.16774e-09
    27	1.62742e-10	5.005e-09	5.16774e-09
    28	1.62742e-10	5.005e-09	5.16774e-09
    29	1.62742e-10	5.005e-09	5.16774e-09
    30	1.62742e-10	5.005e-09	5.16774e-09
    31	1.62742e-10	5.005e-09	5.16774e-09
    32	1.62742e-10	5.005e-09	5.16774e-09
    33	1.62742e-10	5.005e-09	5.16774e-09
    34	1.62742e-10	5.005e-09	5.16774e-09
    35	1.62742e-10	5.005e-09	5.16774e-09
    36	1.62742e-10	5.005e-09	5.16774e-09
    37	1.62742e-10	5.005e-09	5.16774e-09
    38	1.62742e-10	5.005e-09	5.16774e-09
    39	1.62742e-10	5.005e-09	5.16774e-09


Date: Thu Nov  9 20:24:46 2023
Total elapsed time: 6.801 seconds.

tnom = 27
temp = 27
method = modified trap
totiter = 3095
traniter = 3083
tranpoints = 1327
accept = 1229
rejected = 98
matrix size = 10
fillins = 0
solver = Normal
Avg thread counts: 3.2/3.0/3.1/1.9
Matrix Compiler1:      23 opcodes  0.2/[0.1]/0.2
Matrix Compiler2: off  [0.2]/0.2/0.2

